link,region,price_pcm,type,bedrooms,bathrooms
https://www.rightmove.co.uk/properties/161171285#/,East,2600,Flat,2,1
https://www.rightmove.co.uk/properties/161171288#/,East,4000,Flat,1,1
https://www.rightmove.co.uk/properties/161171255#/,East,2000,Flat,1,1
https://www.rightmove.co.uk/properties/158962889#/,East,920,Flat Share,1,1
https://www.rightmove.co.uk/properties/159331388#/,East,1090,Flat Share,1,1
https://www.rightmove.co.uk/properties/158628023#/,East,1100,Flat Share,1,1
https://www.rightmove.co.uk/properties/159715442#/,East,1100,Flat Share,1,1
https://www.rightmove.co.uk/properties/161170691#/,East,1900,Flat,3,1
https://www.rightmove.co.uk/properties/161170655#/,East,1900,Flat,1,1
https://www.rightmove.co.uk/properties/161170616#/,East,2650,Maisonette,2,2
https://www.rightmove.co.uk/properties/161170565#/,East,2650,Apartment,2,2
https://www.rightmove.co.uk/properties/160789397#/,East,2395,Penthouse,3,2
https://www.rightmove.co.uk/properties/161170184#/,East,1200,Flat,1,1
https://www.rightmove.co.uk/properties/160037036#/,East,2557,Apartment,1,1
https://www.rightmove.co.uk/properties/161127281#/,East,2140,Apartment,1,1
https://www.rightmove.co.uk/properties/159654494#/,East,2448,Apartment,1,1
https://www.rightmove.co.uk/properties/160878368#/,East,3500,Apartment,2,2
https://www.rightmove.co.uk/properties/161169470#/,East,1850,Flat,1,1
https://www.rightmove.co.uk/properties/160637204#/,East,1575,Flat,1,1
https://www.rightmove.co.uk/properties/160015538#/,East,2450,Apartment,1,1
https://www.rightmove.co.uk/properties/161168438#/,East,3250,Flat,1,1
https://www.rightmove.co.uk/properties/161168435#/,East,2300,Flat,1,1
https://www.rightmove.co.uk/properties/160153133#/,East,2318,Apartment,1,1
https://www.rightmove.co.uk/properties/161168258#/,East,3100,Flat,3,2
https://www.rightmove.co.uk/properties/161168216#/,East,1500,Flat,2,1
https://www.rightmove.co.uk/properties/160751591#/,East,4250,Flat,4,3
https://www.rightmove.co.uk/properties/161168099#/,East,1350,Studio,,
https://www.rightmove.co.uk/properties/161167964#/,East,725,Flat Share,1,1
https://www.rightmove.co.uk/properties/159802328#/,East,2700,Apartment,2,2
https://www.rightmove.co.uk/properties/161167694#/,East,1900,Maisonette,2,1
https://www.rightmove.co.uk/properties/161167394#/,East,4205,Apartment,4,3
https://www.rightmove.co.uk/properties/160789469#/,East,1900,Flat,2,1
https://www.rightmove.co.uk/properties/161167220#/,East,1725,Apartment,1,1
https://www.rightmove.co.uk/properties/161167199#/,East,1725,Apartment,1,1
https://www.rightmove.co.uk/properties/161166857#/,East,1800,Apartment,2,1
https://www.rightmove.co.uk/properties/161166548#/,East,1675,Studio,,1
https://www.rightmove.co.uk/properties/160063814#/,East,1712,Flat,1,1
https://www.rightmove.co.uk/properties/161166524#/,East,1800,Ground Flat,2,1
https://www.rightmove.co.uk/properties/161166260#/,East,2500,Flat,2,
https://www.rightmove.co.uk/properties/161064554#/,East,2135,Apartment,1,1
https://www.rightmove.co.uk/properties/161166245#/,East,1700,Studio,,1
https://www.rightmove.co.uk/properties/161165648#/,East,1795,Apartment,1,1
